book_id,title,author,publication_date,genre,isbn,publisher,language,page_count,available_copies,rating,price
214,The Sign of Four: Sherlock Holmes' Greatest Case,Magdaia Vanes,11/9/1975,Mystery,935358032-3,Flipstorm,Croatian,5476,10,3.1,223.43
215,Visitor Q (Bizita Q),Nappy Jaycocks,7/19/1970,Romance,516437578-8,Eazzy,Dari,1071,15,2.3,85.35
216,Weight of the Nation,Mohammed Benting,11/22/1996,Mystery,139447730-9,Yacero,Dzongkha,3195,1,2.0,801.92
217,Loser,Collie Cheltnam,3/13/1933,Romance,083489600-1,Thoughtmix,Punjabi,4,6,3.5,612.87
218,Possession,Jaimie Belliss,5/22/2001,Fiction,458864091-7,Thoughtstorm,Albanian,8076,1,1.2,401.56
219,Rampage,Cindi Matic,7/21/1928,Science Fiction,283070758-3,Izio,Maltese,2102,7,2.8,326.96
220,La Bandera,Rebbecca Pettett,12/11/1911,Science Fiction,838067154-6,Linkbridge,Dhivehi,9690,17,4.7,251.52
221,The Invisible Boy,Cordy Revie,3/10/1964,Fiction,228919644-4,Fivebridge,Norwegian,8364,4,1.2,772.18
222,1492: Conquest of Paradise,Demetria Oldfield,5/14/1995,Fiction,334673671-7,Buzzshare,Azeri,5106,2,3.9,725.8
223,Cesar & Rosalie (César et Rosalie),Livvyy Trubshaw,2/23/1951,Romance,318946860-5,Eadel,Aymara,5862,5,3.1,301.51
224,Red Line 7000,Karena Dowyer,4/13/1907,Fiction,620304522-5,Gabtune,Mongolian,2663,18,5.0,352.73
225,Stateside,Nicola Skipper,1/23/1926,Romance,118800904-4,Oba,Maltese,3334,18,3.0,332.27
226,Sailor of the King,Grant Chadwen,1/16/1944,Science Fiction,520584418-3,Linkbuzz,Māori,6773,14,2.4,641.98
227,"Fantastic Fear of Everything, A",Von Verdie,1/13/1935,Science Fiction,779904104-8,Skimia,Montenegrin,1200,7,2.9,515.38
228,"Exorcist, The",Grady Mandry,1/25/1998,Non-Fiction,961989616-5,Npath,Icelandic,8818,3,1.1,707.34
229,Pitfall,Kissie Beeck,11/28/1986,Science Fiction,334031761-5,Jabbersphere,Korean,5435,7,2.9,544.4
230,"Fearless Hyena, The (Xiao quan guai zhao)",Adeline Brookes,5/6/2006,Romance,657281897-7,Devbug,Polish,6635,10,4.0,193.71
231,"Trial, The (Procès, Le)",Kev Sowte,7/2/2021,Non-Fiction,736827144-3,Aivee,Icelandic,4159,16,3.0,293.79
232,"Browning Version, The",Delaney Rulton,3/8/1904,Fiction,904717071-7,Quimm,Croatian,3822,2,1.6,966.92
233,Straw Dogs,Annadiana Darinton,8/28/1949,Science Fiction,482389554-1,Skiba,Aymara,2141,20,2.4,138.42
234,Parked,Stormi Van der Hoeven,6/23/1943,Mystery,368667648-6,Quatz,Luxembourgish,4648,20,2.5,34.43
235,Gordy,Armin Nazer,11/30/1919,Science Fiction,874064508-8,Edgetag,Hebrew,1883,15,1.1,427.09
236,Staying Together,Horten Finey,5/27/1928,Mystery,742878172-8,Meevee,Finnish,2537,10,2.5,522.85
237,Uranus,Tilda Avey,1/6/1926,Fiction,114592587-1,Jazzy,Mongolian,3197,1,4.4,855.12
238,Night Passage,Sandra Denyukin,4/27/1972,Non-Fiction,558453592-3,Vidoo,Malayalam,9547,18,1.4,492.7
239,"Real McCoy, The",Agatha Brearton,8/30/2009,Mystery,271793189-9,Wikizz,Gujarati,2833,7,1.8,436.45
240,"Nights of Cabiria (Notti di Cabiria, Le)",Mirella Tollett,8/13/1984,Science Fiction,813725211-8,Trudeo,Punjabi,6896,15,1.9,117.28
241,Titanic,Lorne Bozworth,1/10/1978,Science Fiction,335139625-2,Jatri,Norwegian,9695,15,3.6,559.98
242,God's Country,Vannie Maben,12/25/1996,Romance,935826427-6,Photofeed,Catalan,6808,13,4.6,560.59
243,The Hound of the Baskervilles,Ignacio Hanselman,11/21/1990,Science Fiction,244648717-3,Kimia,New Zealand Sign Language,9367,11,4.1,145.58
244,King Kong,Quinn Darville,11/7/1937,Science Fiction,229898883-8,Mydeo,Czech,7452,8,4.5,168.61
245,King Solomon's Mines,Alard Clingan,9/2/2003,Mystery,027158983-3,Fivespan,Norwegian,2297,7,1.2,461.13
246,Policeman (Ha-shoter),Stephanus Halligan,5/19/1979,Mystery,233841005-X,Buzzbean,Thai,7625,8,4.1,645.06
247,Cameraman: The Life and Work of Jack Cardiff,Wylie Chisnall,9/21/1990,Science Fiction,069223703-8,Aivee,Telugu,9363,15,5.0,147.19
248,Thunder Soul,Orton Eddisforth,7/3/1962,Fiction,953094871-9,Photobug,Punjabi,1977,20,1.9,252.99
249,"Man Who Knew Too Much, The",Pall Faulo,6/28/1997,Romance,021351721-3,Shuffledrive,Tamil,4704,15,1.1,141.82
250,Stolen,Catharine Bunn,3/31/2003,Science Fiction,207424158-5,Zava,Tamil,2745,17,2.6,93.79
251,"Invisible Sign, An",Meryl Yard,5/21/1980,Romance,827907358-2,Quatz,West Frisian,7876,11,1.9,876.38
252,Reunion,Wynny Balstone,12/14/1995,Science Fiction,290888425-9,Brainsphere,Fijian,6083,12,2.0,547.12
253,Never Forever,Godfry Adnam,5/30/1971,Science Fiction,028597381-9,Flashspan,Telugu,470,6,1.2,19.84
254,Santa Buddies,Helene Verlander,10/13/1986,Mystery,644988907-1,Jaxspan,Bislama,5922,10,4.4,651.42
255,Love Walked In,Stern Packer,5/14/2002,Romance,293598066-2,Brightbean,Georgian,8273,0,3.8,260.74
256,"New One-Armed Swordsman, The (Xin du bi dao)",Jodie Durber,7/9/1966,Non-Fiction,152651702-7,Flipopia,Dzongkha,3873,18,3.2,767.58
257,Prince of the City,Courtenay Beardshall,1/18/1940,Fiction,633117269-6,Trupe,West Frisian,7672,8,1.2,191.29
258,"Lady of Chance, A",Tommy Petley,8/7/1967,Mystery,006307844-9,Oozz,Marathi,2899,7,3.5,363.23
259,976-EVIL II,Shermie Sturmey,1/30/1945,Non-Fiction,156043537-2,Twinte,Yiddish,1210,4,4.2,18.84
260,Break Up,Annaliese Della,10/10/2022,Non-Fiction,348869702-9,Pixoboo,Latvian,3302,6,2.5,768.24
261,Tusk,Car Bordes,6/18/2008,Science Fiction,625505304-0,Quatz,Malayalam,6696,5,4.3,638.0
262,"Dirty Dozen: Next Mission, The",Luce Vasyatkin,1/11/1912,Non-Fiction,269438757-8,Leexo,Malayalam,897,20,3.7,571.57
263,Branded,Keefer MacMeekan,3/20/1932,Fiction,492679664-3,Lazz,Hiri Motu,7797,8,3.6,956.36
264,Storm Rider,Emmet Bezant,11/28/1902,Mystery,874750169-3,Yotz,Aymara,6769,13,2.2,465.73
265,Howling IV: The Original Nightmare,Essy Penkman,2/14/1957,Romance,641992501-0,Jamia,Quechua,6852,1,1.1,428.52
266,Printed Rainbow,Fina Radwell,3/27/1990,Romance,902281544-7,Vitz,Finnish,4083,9,4.7,151.97
267,Antitrust,Shepherd Dutt,2/22/1984,Science Fiction,400058770-6,Pixoboo,Macedonian,8647,6,2.0,717.6
268,Love,Jeannette Pabelik,7/30/1988,Science Fiction,237038554-5,Eabox,Amharic,955,16,2.6,273.47
269,Scorcher,Bradney Reymers,9/5/1937,Fiction,735644937-4,InnoZ,Sotho,9823,20,2.9,82.34
270,Arrowsmith,Shae Utton,8/5/1914,Science Fiction,995912789-3,Demimbu,Swati,6733,10,4.4,319.92
271,Russendisko,Ange Addicote,4/5/1956,Science Fiction,444206817-8,Tagchat,Tswana,2676,10,1.3,519.35
272,Interiors,Colin Yoell,5/24/1946,Mystery,984837603-8,Buzzdog,Persian,5216,20,4.6,376.71
273,Ballplayer: Pelotero,Sheryl Gathercoal,2/6/1931,Non-Fiction,111799595-X,Thoughtmix,Haitian Creole,6557,12,4.9,972.32
274,Happy Times (Xingfu shiguang),Cecily Valde,11/23/1900,Romance,402841022-3,Tagpad,Afrikaans,6484,16,3.2,374.44
275,Betsy's Wedding,Ervin Sidney,8/21/1954,Mystery,761950954-2,Katz,Papiamento,6846,10,4.0,662.81
276,Resistance,Efren Pilgram,3/1/1978,Non-Fiction,190147465-8,Innojam,French,5815,1,4.4,773.44
277,Frankie and Johnny,Clarisse Gatchel,8/2/1922,Fiction,564121729-8,Avamm,English,416,0,1.7,287.52
278,Empire Falls,Heywood Leate,12/21/1937,Mystery,934732776-X,Yata,Yiddish,7004,19,4.1,347.34
279,Dungeons & Dragons,Tilly Flagg,10/26/1996,Non-Fiction,193746502-0,Voonix,Bislama,1303,5,2.2,123.47
280,Housekeeping,Wallache Spilisy,4/14/1972,Non-Fiction,249440957-8,Cogidoo,Finnish,5535,5,4.2,847.97
281,Creature,Loralie Danzey,10/28/1963,Non-Fiction,925285404-5,Thoughtbridge,German,3884,12,1.5,932.62
282,My Mother (Ma mère),Brand Carlos,10/19/2021,Non-Fiction,561235103-8,Devshare,Haitian Creole,3182,19,3.1,82.97
283,Me and Orson Welles,Eada Schmuhl,8/9/2001,Mystery,171591829-0,Browseblab,Georgian,6248,11,3.9,614.26
284,Cats & Dogs,Chaim Gilcriest,10/14/1983,Mystery,320104806-2,Kwilith,Armenian,9737,7,4.8,684.68
285,"Good Marriage, A (Beau mariage, Le)",Hillyer Bellhanger,7/8/1931,Romance,954478027-0,Plajo,Indonesian,1567,19,4.1,797.0
286,When Animals Dream (Når dyrene drømmer),Addie Brooksbank,6/13/1928,Science Fiction,146225636-8,Voomm,Thai,3550,15,1.7,855.13
287,The Violent Enemy,Helsa Cockshot,12/6/2010,Romance,116772583-2,Lazz,Hebrew,1444,14,3.4,182.43
288,Sex and Lucia (Lucía y el sexo),Merralee Chevolleau,4/16/1968,Fiction,108394924-1,Brainverse,Hiri Motu,782,19,5.0,899.55
289,Devils on the Doorstep (Guizi lai le),Sara-ann Falconbridge,6/19/1923,Romance,246198083-7,Tazz,Persian,4327,13,3.8,550.19
290,Bronson,Elysia Gutridge,8/31/1937,Mystery,663631822-8,Skyndu,Catalan,1555,12,3.5,428.64
291,Service (Serbis),Carlota Wrack,10/9/1921,Mystery,031895555-5,Yodel,Gujarati,3930,13,1.3,641.22
292,MacArthur,Gayler Snugg,7/15/1988,Romance,281495012-6,Jamia,Arabic,2489,2,3.0,604.98
293,Neverland,Seward Tieraney,12/8/1945,Science Fiction,006993459-2,Twimbo,Albanian,2277,19,4.3,236.44
294,Moon Zero Two,Kendal Pesticcio,9/29/1919,Fiction,960415920-8,Quinu,Lao,3711,18,1.3,848.31
295,Om Shanti Om,Amelia Pedican,7/4/2006,Mystery,136049655-6,Feednation,Somali,6229,8,2.8,870.09
296,Last Ride,Debbi Clacson,2/7/1922,Mystery,393159239-1,Photofeed,German,8942,19,2.3,779.04
297,42,Salli Barbera,6/24/1967,Science Fiction,496408182-6,Npath,Montenegrin,6557,15,1.0,148.59
298,"Story of the Late Chrysanthemums, The (Zangiku monogatari)",Sutherlan MacKnight,4/15/1933,Science Fiction,690989483-9,Oodoo,Croatian,819,6,4.0,846.68
299,Impure Thoughts,Murray Tayloe,6/14/1957,Science Fiction,772869597-5,InnoZ,Afrikaans,7832,5,2.5,541.99
300,Last of the Dogmen,Elysia Townes,10/5/1990,Romance,972079639-1,Yoveo,Oriya,643,2,2.8,191.78
301,Après lui,Ayn Joules,5/4/1923,Romance,006282158-X,Shuffledrive,Macedonian,9637,10,3.0,750.6
302,"Crime of Monsieur Lange, The (Le crime de Monsieur Lange)",Clevie Ert,3/17/1993,Non-Fiction,741186890-6,Pixope,Danish,937,13,2.3,583.19
303,Rugrats in Paris: The Movie,Misha Heggie,5/12/1962,Romance,599276763-0,Zava,Swahili,4703,19,1.6,821.52
304,Beer Wars,Wallas Camilleri,7/1/1989,Science Fiction,049233432-3,Mydeo,Marathi,3189,9,1.2,35.81
305,Head On,Fraser Showering,12/16/2003,Romance,232128628-8,Oyondu,Maltese,1338,5,3.3,47.8
306,Doug's 1st Movie,Britni Fowkes,7/15/2021,Non-Fiction,817776299-0,Tagpad,Italian,3671,0,4.5,664.64
307,Trembling Before G-d,Maxine Duigan,3/25/2004,Mystery,529098918-8,Skibox,Georgian,1060,14,2.6,567.28
308,"Curve, The (Dead Man's Curve)",Georgette Levesque,5/28/2016,Non-Fiction,002214937-6,Ntag,New Zealand Sign Language,6711,12,1.3,480.19
309,Lonely Street,Carrol Klimushev,5/29/1927,Science Fiction,131430242-6,InnoZ,Kannada,9404,19,2.4,408.41
310,Legend of the Guardians: The Owls of Ga'Hoole,Lesley Tregien,2/19/1968,Science Fiction,342828820-3,Gigabox,Dari,3540,19,1.2,164.81
311,"Reckoning, The",Braden Blencowe,3/13/1903,Science Fiction,203732357-3,Skajo,Catalan,2211,13,3.2,581.69
312,Food Stamped,Rebbecca Wilden,12/11/1952,Romance,313752250-1,Demizz,Latvian,3561,2,3.7,971.74
313,Street Without End (Kagirinaki hodo),Catlee Leith-Harvey,12/7/1980,Mystery,129127003-5,Kanoodle,Belarusian,3059,5,2.7,29.12
314,Model Shop,Cathlene Quesne,11/13/1938,Science Fiction,334916885-X,Yata,Spanish,7238,10,4.0,704.48
315,Eddie Izzard: Circle,Sterne Everill,6/21/1909,Mystery,634654605-8,Meembee,Punjabi,3105,15,3.1,112.22
316,"Wonderful Ice Cream Suit, The",Yank Suff,7/28/1981,Fiction,973423602-4,Tekfly,Punjabi,6189,11,1.5,810.81
317,Strictly Sexual,Spenser Fahy,7/24/1900,Mystery,285476329-7,Meembee,Tamil,5913,16,1.0,240.12
318,Rapid Fire,Moss Jakoviljevic,2/17/1923,Science Fiction,077611853-6,Flipstorm,Luxembourgish,6692,15,3.5,336.53
319,Pacific Rim,Abdel Parmer,7/22/1963,Non-Fiction,948165709-4,Pixope,Lao,6732,6,1.5,233.03
320,White Zombie,Alexa Simmance,8/31/1902,Science Fiction,103644089-3,Flashset,Portuguese,8239,17,2.5,653.15
321,Chris Rock: Bring the Pain,Towny Merritt,4/5/1949,Fiction,422896303-X,Trudeo,Greek,3711,8,1.1,94.42
322,We're Not Dressing,Lorrie Wilford,11/8/1948,Mystery,435924125-9,Voonte,Dzongkha,2753,1,1.2,76.06
323,"Charge of the Light Brigade, The",Shepard Mantram,11/10/1913,Romance,204869436-5,Kanoodle,Portuguese,9154,6,3.6,663.08
324,Arsenal,Anthe Babcock,2/2/1950,Non-Fiction,287334825-9,Camimbo,Macedonian,9640,12,4.5,253.36
325,Quatermass and the Pit,Barnett Ashburner,7/25/1979,Mystery,291824869-X,Yadel,Maltese,1258,6,3.2,870.68
326,"Erotic Man, The",Stearn Ferrarello,10/10/1938,Mystery,687687529-6,Cogibox,Haitian Creole,2483,10,2.6,398.69
327,"Bullet for Joey, A",Allegra Privost,1/30/1930,Mystery,166739050-3,Omba,Haitian Creole,1348,15,2.5,676.92
328,Thunder Soul,Fletcher Reveland,1/23/2010,Non-Fiction,372419611-3,InnoZ,Ndebele,9045,18,4.8,388.01
329,Kull the Conqueror,Oran Kliement,3/26/1905,Mystery,896500439-X,Yakitri,Dari,9145,6,3.4,342.74
330,alaskaLand,Lanie Durno,9/21/1922,Non-Fiction,073068238-2,Youopia,Tok Pisin,4121,20,4.2,548.71
331,Love and Other Catastrophes,Rowe Samuels,3/6/1954,Science Fiction,969133577-8,Dynazzy,Portuguese,2802,11,3.7,659.23
332,Precious Find,Marie-ann Rumin,3/14/1904,Fiction,930029107-6,Pixope,Malay,8827,5,3.6,115.55
333,Delta Farce,Ladonna Elintune,11/27/1974,Non-Fiction,352033005-9,Youfeed,Māori,8618,20,2.2,384.12
334,"Football Factory, The",Igor Garr,7/17/2011,Mystery,078299111-4,Ailane,Dari,3976,9,1.9,379.47
335,Going Straight,Rorke Bygrove,5/29/1916,Romance,948056265-0,Oloo,Hiri Motu,9924,15,1.5,634.7
336,Chris Rock: Bring the Pain,Willie Behrendsen,5/28/1934,Mystery,350926184-4,Skinder,Greek,5860,14,2.0,629.12
337,Indecent Proposal,Livia Ellwand,3/29/1922,Science Fiction,692523094-X,Leenti,Khmer,6857,17,1.1,414.71
338,Confidential Report,Yul Gurry,8/9/2020,Science Fiction,350217968-9,Youspan,Gujarati,6307,20,3.4,550.85
339,Rosewater,Trude Smoth,8/24/1923,Science Fiction,458092188-7,Buzzdog,Irish Gaelic,1292,11,3.0,71.22
340,"Nomi Song, The",Mollie MacKissack,8/2/1970,Fiction,905126082-2,Browsedrive,Kashmiri,8668,16,2.1,794.77
341,Friendly Persuasion,Pedro Curneen,12/22/2005,Mystery,552158189-8,JumpXS,Georgian,433,9,4.4,643.19
342,Wide Awake,Thia Silverlock,10/22/2022,Fiction,731838748-0,Fivebridge,New Zealand Sign Language,4444,9,1.3,177.56
343,Texas Carnival,Wynn Castrillo,3/30/1954,Fiction,282423113-0,Zoomcast,Kazakh,4023,15,3.0,306.02
344,Wish You Were Here,Gregor Coll,8/16/1938,Fiction,860664975-9,Meevee,Quechua,5619,9,4.0,732.82
345,Kill Your Darlings,Myrta Halburton,3/25/1971,Fiction,063299747-8,InnoZ,Luxembourgish,6343,11,4.1,451.93
346,My Name Is Bruce,Shir Dorant,10/18/1946,Fiction,541824062-5,Skippad,Icelandic,2401,19,1.8,722.28
347,Snow Queen,Devy McGahy,10/25/2012,Fiction,039625767-4,Centidel,Chinese,8280,12,3.3,907.3
348,"Beverly Hillbillies, The",Nolana Leathard,5/14/1986,Mystery,975045600-9,Kwimbee,Greek,1707,16,2.5,18.84
349,Power,Sebastiano Gingell,11/9/1983,Mystery,217106707-1,Blogpad,Georgian,8390,15,1.8,208.0
350,Young Tom Edison,Rock Ranscomb,10/16/1947,Non-Fiction,134249482-2,Tagchat,German,752,9,2.1,91.36
351,Middle of Nowhere,Lissi Raspin,1/6/1914,Romance,060159957-8,Meejo,English,5579,12,4.2,330.68
352,Cross My Heart,Gibbie Elt,2/3/1948,Science Fiction,371638618-9,Twitterbeat,Tswana,4757,18,4.6,341.05
353,Radio Free Albemuth,Quinta Mabley,8/6/1958,Science Fiction,941712098-0,Flipbug,Bulgarian,1175,2,1.3,660.67
354,Perkele! Kuvia Suomesta,Tabbie Shurrock,10/31/1970,Non-Fiction,407232861-8,Riffwire,Maltese,5906,5,3.9,739.29
355,Thieves by Law (Ganavim Ba Hok),Ruggiero Bedbury,10/12/1902,Non-Fiction,101110322-2,Oyonder,Irish Gaelic,5080,4,2.9,842.67
356,Jurassic Park III,Feodora Callam,2/19/1956,Romance,526908892-4,Yozio,Dhivehi,97,20,2.9,413.53
357,Slaying the Badger,Gerome Wearn,5/9/1968,Romance,895014849-8,Tazzy,Kazakh,1700,4,3.2,432.95
358,"Tiger's Tail, The",Jerrome Congreve,6/19/1956,Mystery,730828028-4,Photolist,Kazakh,1109,18,1.6,895.92
359,Osmosis (Osmose),Tedda Daviot,12/25/1933,Mystery,560033832-5,Photobug,Finnish,7343,20,4.2,45.5
360,Last Action Hero,Esdras O'Scandall,11/13/1959,Romance,986475178-6,Linktype,Dari,3127,7,1.5,820.31
361,Clint Eastwood: Out of the Shadows,Siana Normabell,12/21/1930,Mystery,326046505-7,Digitube,Zulu,6144,2,2.8,869.38
362,"See You in Hell, My Darling (Tha se do stin Kolasi, agapi mou)",Shani Dorcey,11/1/1998,Romance,589940723-9,Mudo,Polish,8688,17,4.5,491.67
363,"Great Passage, The (Fune wo amu)",Zonnya Bulpitt,5/1/1947,Mystery,793599551-6,Gigaclub,Bislama,190,0,1.1,255.8
364,"Time Machine, The",Huntington Warrilow,6/15/1921,Non-Fiction,948162743-8,Centimia,Icelandic,6009,1,3.7,799.94
365,"Power of Nightmares, The: The Rise of the Politics of Fear",Darius Skitch,1/5/1953,Non-Fiction,898530729-0,Centizu,Georgian,5299,7,4.4,10.16
366,Trench Road (Juoksuhaudantie),Derby Strangwood,5/29/1952,Non-Fiction,349238756-X,Innotype,Bulgarian,4482,19,1.0,647.83
367,Whoopi Goldberg Presents Moms Mabley,Karyn Missington,2/13/1915,Mystery,657973290-3,Youspan,Papiamento,8930,15,4.9,432.59
368,State Affairs (Une affaire d'état),Ruthi Morby,9/10/2022,Romance,197643685-0,Wikizz,Assamese,5763,3,4.6,750.29
369,"Story of Science, The",Charis Mailey,11/5/1914,Science Fiction,733832822-6,Vinte,Fijian,538,3,4.3,960.51
370,Bride of the Monster,Evanne Lawn,9/3/2009,Romance,038326596-7,Skyba,Albanian,8643,7,4.3,401.68
371,Made,Lyndy Cuphus,5/22/1953,Fiction,122699983-2,Cogibox,Dhivehi,2272,13,2.8,424.97
372,The Lazarus Effect,Axel Spragg,6/24/1901,Mystery,998615955-5,Skilith,Danish,1688,11,4.4,883.59
373,Bride of Boogedy,Raye Chrstine,12/26/1935,Science Fiction,796843826-8,Yodel,Pashto,2257,4,1.8,669.62
374,"House of Rothschild, The",Margarette Guile,12/16/1900,Mystery,311732011-3,Thoughtmix,Korean,5111,12,1.7,872.19
375,Smashing Time,Leisha Andreini,12/27/1947,Non-Fiction,764903672-3,Blogtags,Portuguese,6912,15,4.5,133.69
376,Quarantine 2: Terminal,Jamison Damrell,4/25/1933,Romance,531626645-5,Quatz,Icelandic,6928,5,3.6,822.33
377,Night of the Living Dead 3D,Camile Trazzi,3/8/1922,Non-Fiction,494772238-X,Realcube,Indonesian,7253,14,3.9,536.29
378,My Boy,Marco Edgley,3/5/2012,Non-Fiction,666049440-5,Brightdog,Indonesian,7218,15,1.8,916.23
379,"Kingdom II, The (Riget II)",Mohammed Rocca,11/16/1930,Non-Fiction,101504916-8,Zoomlounge,Zulu,2071,1,4.2,327.25
380,"Strada, La",Kalil Lothlorien,10/28/1983,Romance,757886314-2,Twitterbeat,Nepali,6914,11,5.0,273.05
381,Stars Above,Aldridge Collyear,5/21/1991,Science Fiction,751507923-1,Ainyx,Pashto,1455,4,2.6,57.66
382,White Palace,Claribel Petrashov,5/1/1970,Fiction,410515787-6,Agimba,Tswana,3809,4,3.2,447.53
383,Flight Command,Boony Pennacci,11/2/2017,Science Fiction,213013111-5,Vidoo,Croatian,6252,7,4.6,740.91
384,Foosball (Metegol),Skelly Giannassi,2/2/2003,Fiction,897990160-7,Yacero,Burmese,425,2,1.2,666.15
385,"Silent World, The (Le monde du silence)",Gilberto Sandbach,3/1/2015,Romance,246787487-7,Yotz,Haitian Creole,9183,18,1.6,851.01
386,Texas Terror,Willyt Dencs,12/11/1926,Non-Fiction,604432990-9,Jamia,Māori,9330,7,2.5,355.13
387,Alien Contamination,Tanya Simmig,5/4/1932,Fiction,086063214-8,Zava,Zulu,5470,9,3.2,183.95
388,"Boot, Das (Boat, The)",Christa Lobe,7/27/1966,Science Fiction,473016012-6,Quatz,Malayalam,4446,20,1.3,23.21
389,Photos in the City of Sylvia (Unas fotos en la ciudad de Sylvia),Vanya Paxforde,6/26/1961,Science Fiction,321583522-3,Edgeclub,Japanese,4691,13,2.9,911.78
390,Welcome to New York,Tomi Briand,12/16/2007,Science Fiction,342406349-5,Mydeo,Swedish,6657,5,3.2,694.99
391,Love and Other Troubles,Agnella Fathers,10/24/1946,Mystery,607512169-2,Wikibox,Polish,6427,20,4.7,297.17
392,Jack Strong,Lynne Collingworth,4/24/1902,Non-Fiction,265772523-6,Photobug,Tswana,1386,14,2.6,487.94
393,Mannequin,Stesha Huckleby,2/12/1990,Fiction,809809991-1,Voomm,Irish Gaelic,6466,5,4.4,377.19
394,Inside Daisy Clover,Adey McCalum,1/6/1925,Science Fiction,626167046-3,Yamia,Bislama,4279,10,2.9,60.31
395,"Hollow Crown, The",Hinda Travers,1/11/2009,Fiction,918722566-2,Quatz,Luxembourgish,499,19,4.8,751.92
396,Taxi!,Lyon Elford,3/1/1948,Mystery,656029225-8,Vinder,Latvian,2274,16,1.3,602.91
397,In the Realms of the Unreal,Seward Braun,4/18/1916,Mystery,296715367-2,Yodoo,Tok Pisin,1946,7,3.3,103.37
398,Whose Life Is It Anyway?,Axe Lauridsen,5/17/2017,Science Fiction,652427532-2,Shufflebeat,Somali,6505,1,3.7,776.3
399,Shrooms,Clyve Sirrell,10/14/2000,Mystery,734078488-8,Gabcube,Swahili,2027,19,2.8,593.5
400,Storyville,Shannen Loche,3/7/1929,Mystery,147177681-6,Skipfire,Belarusian,7468,13,5.0,636.45
401,Conflagration (Enjô),Neddy Morten,12/28/1919,Fiction,836885063-0,Digitube,French,5179,14,1.1,894.78
402,Hostage,Delmar Kenninghan,11/30/1919,Romance,448808413-3,Edgeclub,Tsonga,1098,5,2.1,149.21
403,"Die, Monster, Die!",Elfie Bezemer,6/9/1996,Science Fiction,301919590-X,Quinu,Haitian Creole,5604,12,2.7,521.8
404,The Heart Machine,Max Reggiani,12/26/1915,Romance,493495613-1,Yakidoo,Bengali,9426,11,3.9,730.73
405,"White Rose, The (Weiße Rose, Die)",Stormi Maffioletti,9/4/1964,Science Fiction,049052058-8,Skalith,Croatian,9418,9,2.4,375.48
406,"Good Mother, The",Olvan Ferroni,2/24/1927,Romance,843146092-X,Edgeify,Tok Pisin,3680,14,4.2,779.39
407,Austin Powers in Goldmember,Trent Thurston,5/7/1993,Fiction,425793234-1,Photobug,Arabic,3182,7,2.3,919.81
408,"Dirty Shame, A",Burl Barbery,3/29/1918,Mystery,635973237-8,Eire,Bosnian,5990,10,2.4,599.33
409,WUSA,Tiebout Zecchinelli,3/5/1950,Science Fiction,356394271-4,Shufflester,French,6585,10,4.1,912.56
410,Examined Life,Meridel Verling,9/25/1904,Romance,371293049-6,Twitterlist,Hebrew,1596,18,3.4,225.96
411,"Spook Who Sat by the Door, The",Tanya Skyrme,11/26/1997,Fiction,937187115-6,Mydeo,English,1789,14,2.0,102.65
412,So Long Letty,Flss Nyles,11/14/1949,Mystery,913596480-4,Jatri,Greek,9350,18,3.2,97.85
413,Road House,Constantin Gritten,3/5/1916,Science Fiction,632154700-X,Dablist,Nepali,6452,12,3.3,438.53
414,"Valet, The (La doublure)",Eldon Haslam,11/18/1971,Fiction,137003061-4,Trupe,New Zealand Sign Language,3482,10,3.2,245.98
415,Stranger by the Lake (L'inconnu du lac),Laurene Grovier,6/20/1992,Science Fiction,661210804-5,Mynte,Assamese,1018,8,1.5,668.72
416,The Fox and the Hound 2,Selma Randals,10/2/1913,Mystery,907495173-2,Babbleset,Armenian,8766,12,3.0,622.79
417,Tetsuo II: Body Hammer,Linus Elkin,8/21/2000,Fiction,511434228-2,Thoughtworks,Swati,5034,12,4.1,893.47
418,Mirrors,Felipe Dansken,3/20/1948,Romance,749592186-2,Gigazoom,Malayalam,9957,9,3.5,581.93
419,Nina Frisk,Rutter Dallemore,4/30/1996,Mystery,159807187-4,Twitterbeat,Northern Sotho,6642,15,2.5,462.63
420,Cleanflix,Enrico Conkling,9/11/1986,Fiction,662988503-1,Gabcube,Burmese,3245,12,2.2,590.29
421,In Hell,Carrissa Vinsen,10/24/1933,Fiction,974168401-0,Kazio,Malagasy,1993,0,5.0,110.56
422,Soapdish,Randi Gue,12/19/1986,Non-Fiction,728402241-8,Brightdog,Icelandic,5390,4,1.2,788.52
423,Legend of the Boneknapper Dragon,Selinda Potteril,6/29/2006,Science Fiction,095486131-0,Skyvu,Irish Gaelic,4803,14,4.5,263.14
424,Cool It,Vick Mutch,1/22/1972,Science Fiction,075776653-6,Eare,Sotho,9526,6,2.4,22.02
425,Blind Massage (Tui na),Caesar Delap,11/24/1977,Mystery,047189640-3,Centizu,Hungarian,9787,19,1.6,395.19
426,Hallelujah!,Alexandrina Riccardo,11/11/1968,Non-Fiction,839112601-3,Kwimbee,Marathi,8069,18,4.2,249.68
427,Little Lord Fauntleroy,Lion Scripture,11/16/1903,Fiction,659345820-1,Devshare,Ndebele,694,12,2.2,769.02
428,Babylon 5: The Legend of the Rangers: To Live and Die in Starlight,Orlan Grey,11/17/1960,Mystery,398458563-2,Dablist,Telugu,3440,10,4.8,197.17
